timestamp,signal,anomaly
1386018900,0.6754244391762585,0
1386019200,0.6845252374176375,0
1386019500,0.6956905711891083,0
1386019800,0.7146384681355171,0
1386020100,0.7258117755358241,0
1386020400,0.7199915952381988,0
1386020700,0.7346437343210311,0
1386021000,0.734672333677413,0
1386021300,0.7354296382374611,0
1386021600,0.7272840442733655,0
1386021900,0.7394686210102682,0
1386022200,0.7274873350694896,0
1386022500,0.725550533577965,0
1386022800,0.7396504127005762,0
1386023100,0.7356585733740199,0
1386023400,0.7366118012512451,0
1386023700,0.74548486340718,0
1386024000,0.7450151942117597,0
1386024300,0.7479972411929022,0
1386024600,0.7338118456996988,0
1386024900,0.7487135729896237,0
1386025200,0.7439459546391105,0
1386025500,0.7349552406782616,0
1386025800,0.7425817148538272,0
1386026100,0.7485343910982897,0
1386026400,0.7508505461094331,0
1386026700,0.7439297184477979,0
1386027000,0.7614065486206069,0
1386027300,0.7438260641857516,0
1386027600,0.7578156033567975,0
1386027900,0.7483015270280028,0
1386028200,0.7467890148614152,0
1386028500,0.7455973731329275,0
1386028800,0.7500382286783326,0
1386029100,0.7551835501031369,0
1386029400,0.7605566041367853,0
1386029700,0.7637022109546224,0
1386030000,0.749839590230601,0
1386030300,0.75918766154543,0
1386030600,0.765743980768991,0
1386030900,0.7674518321839736,0
1386031200,0.7538132818936384,0
1386031500,0.7607801059114838,0
1386031800,0.7627717969017458,0
1386032100,0.7706051466237741,0
1386032400,0.7654319259546367,0
1386032700,0.7649014831621408,0
1386033000,0.7643880086201404,0
1386033300,0.7808128137456152,0
1386033600,0.7823280280759793,0
1386033900,0.7760075447578789,0
1386034200,0.7819346761678334,0
1386034500,0.7729749073286727,0
1386034800,0.7749164759903483,0
1386035100,0.7675431974170941,0
1386035400,0.7818931362489134,0
1386035700,0.7828497206423924,0
1386036000,0.7800981011987845,0
1386036300,0.7788460942327654,0
1386036600,0.7832039214315939,0
1386036900,0.7775379854682299,0
1386037200,0.7785933509642885,0
1386037500,0.7900704598247651,0
1386037800,0.7920211102110216,0
1386038100,0.7917011683069798,0
